government,Province_China,Province,city_China,City,N,E
___,__,Zhejiang ,__,Ningbo,29.52,121.33
___,__,Zhejiang ,__,Pinghu,30.42,121.01
___,__,Zhejiang ,__,Quzhou,28.58,118.52
___,__,Zhejiang ,__,Ruian,27.48,120.38
___,__,Zhejiang ,__,#N/A,30.01,120.52
___,__,Zhejiang ,__,Shaoxing,30,120.34
___,__,Zhejiang ,__,Taizhou,28.41,121.27
___,__,Zhejiang ,__,Tongxiang,30.38,120.32
___,__,Zhejiang ,__,Wenling,28.22,121.21
___,__,Zhejiang ,__,Wenzhou,28.01,120.39
___,__,Zhejiang ,__,#N/A,30.09,120.16
___,__,Zhejiang ,__,Yiwu,29.18,120.04
___,__,Zhejiang ,__,Yueqing,28.08,120.58
___,__,Zhejiang ,__,#N/A,30.26,120.18
___,__,Zhejiang ,__,Yuyao,30.02,121.1
___,__,Zhejiang ,__,Yongkang,29.54,120.01
___,__,Zhejiang ,__,Zhoushan,30.01,122.06
___,__,Zhejiang ,__,Zhuji,29.43,120.14
___,___,#N/A,__,Chongqing,29.35,106.33
___,___,#N/A,__,#N/A,30.02,106.15
___,___,#N/A,__,#N/A,29.18,106.16
___,___,#N/A,__,#N/A,29.1,107.05
___,___,#N/A,__,#N/A,29.23,105.53
,,,__,Su1zhou,31.23,120.57
,,,__,"Haikou, Hainan",20.02,110.2
,,,___,Lianyungang,34.596544,119.221282
___,__,Fujian,__,Fu zhou,26.05,119.18
,,,__,YIN CHUAN,38.27,106.16
,,,__,Xiangyang,32,112
,,,__,ZHEN JIANG,32.11,119.27
,,,__,Guang'an,30,106
,,,__,Xuancheng,30.57,118.44
